Position;Start date;End date;Max. Hourly rate;Hours/week;Location;Deadline;Company;Submitter;Status;Candidate/Motivation;URL;Description
Outsystems Platform Engineer;26/05/2024;30/12/2024;5792,72 EUR;40 uren per week;Rotterdam;06/05/2024;Stedin Netbeheer B.V.;"
                Contact Information
                -------------------
                Name: Arthur Timman
                Phone: None
                Email: None
        ";Open;[];https://striive.com/nl/opdrachten/stedin-netbeheer-bv/outsystems-platform-engineer/523cd5a0-773c-45f0-9b79-37c9abe10931;"Assignment Details
                -------------------
                Requirements: afgeronde hboopleiding, ervaring met troubleshooting op een OutSystems omgeving, minimaal twee jaar ervaring als OutSystems developer, ervaring met Reactive Web Applications, Mobile en Traditional Web, ervaring met OutSystems development best practices, bekend met de fundamenten van Azure, gecertificeerd OutSystems Professional Platform Ops Engineer en/of Professional DevOps Engineer of bereid om deze op korte termijn te halen, ervaring met performance tuning en security best practices van OutSystems applicaties is een pré, ervaring met Deployment support en CICD pipelines is een pré, ervaring met monitoring tools zoals Grafana of Elastic is een pré, ervaring met Core Layer Testing is een pré, gewend om agile te werken

                Preferences: salarisindicatie, eventuele secundaire arbeidsvoorwaarden, akkoordverklaring kosteloze overname na één kalenderjaar, het privé emailadres van de kandidaat m.b.t. de aanvraag v.h. online assessment, referenties (naam, functie en contactgegevens referent)

                Skills: bedreven in het toepassen van OutSystems, kennis van een installatie en/of upgrade van een OutSystems omgeving on premise, lef en positieve instelling, creatieve ambities
        "
Outsystems Platform Engineer;26/05/2024;30/12/2024;5792,72 EUR;40 uren per week;Rotterdam;06/05/2024;Stedin Netbeheer B.V.;"
                Contact Information
                -------------------
                Name: Arthur Timman
                Phone: None
                Email: None
        ";Open;[];https://striive.com/nl/opdrachten/stedin-netbeheer-bv/outsystems-platform-engineer/523cd5a0-773c-45f0-9b79-37c9abe10931;"Assignment Details
                -------------------
                Requirements: afgeronde hboopleiding, ervaring met troubleshooting op een OutSystems omgeving, minimaal twee jaar ervaring als OutSystems developer, ervaring met Reactive Web Applications, Mobile en Traditional Web, ervaring met OutSystems development best practices, bekend met de fundamenten van Azure, gecertificeerd OutSystems Professional Platform Ops Engineer en/of Professional DevOps Engineer of bereid om deze op korte termijn te halen, ervaring met performance tuning en security best practices van OutSystems applicaties is een pré, ervaring met Deployment support en CICD pipelines is een pré, ervaring met monitoring tools zoals Grafana of Elastic is een pré, ervaring met Core Layer Testing is een pré, gewend om agile te werken

                Preferences: salarisindicatie, eventuele secundaire arbeidsvoorwaarden, akkoordverklaring kosteloze overname na één kalenderjaar, het privé emailadres van de kandidaat m.b.t. de aanvraag v.h. online assessment, referenties (naam, functie en contactgegevens referent)

                Skills: bedreven in het toepassen van OutSystems, kennis van een installatie en/of upgrade van een OutSystems omgeving on premise, lef en positieve instelling, creatieve ambities
        "
