Position;Start date;End date;Max. Hourly rate;Hours/week;Location;Deadline;Company;Submitter;Status;Candidate/Motivation;URL;Description
Angular Developer;19/05/2024;30/12/2024;;36 uren per week;Arnhem;01/05/2024;Alliander;"
                Contact Information
                -------------------
                Name: Melanie Vries
                Phone: None
                Email: None
        ";Open;[];https://striive.com/nl/opdrachten/alliander/angular-developer/ff4261c2-2140-42c1-80d3-4253201d0e27;"Assignment Details
                -------------------
                Requirements: Minimaal 23 jaar werkervaring met het Angular Framework of ervaring met React/VueJS, Kennis van Plotly.js, Angular Material, RxJS, Typescript, HTML en (S)CSS, Ervaring met deployment pipelines, bij voorkeur met CI/CD pipelines, Ervaring met RESTful API integratie, Kennis van één of meerdere clouddiensten (bij voorkeur AWS), Ervaring met unit testing

                Preferences: Bij voorkeur kennis van laden en plotten van grote datasets

                Skills: Het meewerken aan de verdere ontwikkeling van een tool voor system operators, Het integreren van functionaliteiten en nieuwe ontwikkelingen zoals monitoren van netcomponenten of data visualisaties, Fungeren als sparringpartner binnen het team, Integreren van API's met de frontend
        "
Angular Developer;19/05/2024;30/12/2024;;36 uren per week;Arnhem;01/05/2024;Alliander;"
                Contact Information
                -------------------
                Name: Melanie Vries
                Phone: None
                Email: None
        ";Open;[];https://striive.com/nl/opdrachten/alliander/angular-developer/ff4261c2-2140-42c1-80d3-4253201d0e27;"Assignment Details
                -------------------
                Requirements: Minimaal 23 jaar werkervaring met het Angular Framework of ervaring met React/VueJS, Kennis van Plotly.js, Angular Material, RxJS, Typescript, HTML en (S)CSS, Ervaring met deployment pipelines, bij voorkeur met CI/CD pipelines, Ervaring met RESTful API integratie, Kennis van één of meerdere clouddiensten (bij voorkeur AWS), Ervaring met unit testing

                Preferences: Bij voorkeur kennis van laden en plotten van grote datasets

                Skills: Het meewerken aan de verdere ontwikkeling van een tool voor system operators, Het integreren van functionaliteiten en nieuwe ontwikkelingen zoals monitoren van netcomponenten of data visualisaties, Fungeren als sparringpartner binnen het team, Integreren van API's met de frontend
        "
