Position;Start date;End date;Max. Hourly rate;Hours/week;Location;Deadline;Company;Submitter;Status;Candidate/Motivation;URL;Description
Product owner;19/05/2024;30/12/2024;;36 uren per week;Utrecht;01/05/2024;Belastingdienst ICT (2022);"
                Contact Information
                -------------------
                Name: Shirley Trouwen
                Phone: None
                Email: None
        ";Open;[];https://striive.com/nl/opdrachten/belastingdienst-ict-2022/product-owner/a56d502f-a7ea-4e9d-b27a-ad875148c2e0;"Assignment Details
                -------------------
                Requirements: Alleen Nederlandstalige CV’s aanbieden, Kandidaten moeten perfect Nederlands kunnen spreken, Opdracht is minder geschikt voor ZZP’ers ivm wet DBA, Ervaring op het gebied van aansturen scrum team, 

                Preferences: Ervaring met selectiemodellen/algoritmes is een pre, Kennis van datamodelering is een pre, 

                Skills: Aansturen team, Netwerken, Politieke en bestuurlijke sensitiviteit
        "
Product owner;19/05/2024;30/12/2024;;36 uren per week;Utrecht;01/05/2024;Belastingdienst ICT (2022);"
                Contact Information
                -------------------
                Name: Shirley Trouwen
                Phone: None
                Email: None
        ";Open;[];https://striive.com/nl/opdrachten/belastingdienst-ict-2022/product-owner/a56d502f-a7ea-4e9d-b27a-ad875148c2e0;"Assignment Details
                -------------------
                Requirements: Alleen Nederlandstalige CV’s aanbieden, Kandidaten moeten perfect Nederlands kunnen spreken, Opdracht is minder geschikt voor ZZP’ers ivm wet DBA, Ervaring op het gebied van aansturen scrum team, 

                Preferences: Ervaring met selectiemodellen/algoritmes is een pre, Kennis van datamodelering is een pre, 

                Skills: Aansturen team, Netwerken, Politieke en bestuurlijke sensitiviteit
        "
