Position;Start date;End date;Max. Hourly rate;Hours/week;Location;Deadline;Company;Submitter;Status;Candidate/Motivation;URL;Description
Business Analist;14/04/2024;30/12/2024;;36 uren per week;Den Haag;30/04/2024;Ministerie van Volksgezondheid, Welzijn en Sport (2022);"
                Contact Information
                -------------------
                Name: Michelle Wassmer
                Phone: None
                Email: None
        ";Open;[];https://striive.com/nl/opdrachten/ministerie-van-volksgezondheid-welzijn-en-sport-2022/business-analist/bb2d72b3-0e73-4adb-b6b1-0b4734aae4af;"Assignment Details
                -------------------
                Requirements: Kandidaat beschikt over tenminste HBO / WO werk en denkniveau, Kandidaat beschikt over minimaal 5 jaar aantoonbare ervaring in een soortgelijke functie, Kandidaat beschikt over aantoonbare ervaring met digitaliseringsprojecten waarbij meerdere partijen gegevens met elkaar uitwisselen, 

                Preferences: Mate waarin de kandidaat beschikt over aantoonbare ervaring met Agile werken, Mate waarin de kandidaat aantoonbare ervaring heeft met het faciliteren van workshops in een complex stakeholderveld, Mate waarin de kandidaat aantoonbare ervaring heeft met het opstellen use cases, epics en user stories (Jira/Confluence), Mate waarin de kandidaat voldoet aan de onderdelen uit het gewenste profiel, 

                Skills: Proactief, Bruggenbouwer, Bedreven in het snel schakelen tussen verschillende onderwerpen, Verwerken en combineren van informatie van interne stakeholders, Overbrengen en handhaven van de teamoverstijgende visie, Handhaven van de kaders waarbinnen de ontwikkelteams moeten opereren, Bijdrage verlenen aan het bepalen van de strategie, Ondersteunen van verschillende teamactiviteiten (refinements en workshops), Goede communicatieve vaardigheden zowel mondeling als schriftelijk, Grote mate van zelfstandigheid
        "
Business Analist;14/04/2024;30/12/2024;;36 uren per week;Den Haag;30/04/2024;Ministerie van Volksgezondheid, Welzijn en Sport (2022);"
                Contact Information
                -------------------
                Name: Michelle Wassmer
                Phone: None
                Email: None
        ";Open;[];https://striive.com/nl/opdrachten/ministerie-van-volksgezondheid-welzijn-en-sport-2022/business-analist/bb2d72b3-0e73-4adb-b6b1-0b4734aae4af;"Assignment Details
                -------------------
                Requirements: Kandidaat beschikt over tenminste HBO / WO werk en denkniveau, Kandidaat beschikt over minimaal 5 jaar aantoonbare ervaring in een soortgelijke functie, Kandidaat beschikt over aantoonbare ervaring met digitaliseringsprojecten waarbij meerdere partijen gegevens met elkaar uitwisselen, 

                Preferences: Mate waarin de kandidaat beschikt over aantoonbare ervaring met Agile werken, Mate waarin de kandidaat aantoonbare ervaring heeft met het faciliteren van workshops in een complex stakeholderveld, Mate waarin de kandidaat aantoonbare ervaring heeft met het opstellen use cases, epics en user stories (Jira/Confluence), Mate waarin de kandidaat voldoet aan de onderdelen uit het gewenste profiel, 

                Skills: Proactief, Bruggenbouwer, Bedreven in het snel schakelen tussen verschillende onderwerpen, Verwerken en combineren van informatie van interne stakeholders, Overbrengen en handhaven van de teamoverstijgende visie, Handhaven van de kaders waarbinnen de ontwikkelteams moeten opereren, Bijdrage verlenen aan het bepalen van de strategie, Ondersteunen van verschillende teamactiviteiten (refinements en workshops), Goede communicatieve vaardigheden zowel mondeling als schriftelijk, Grote mate van zelfstandigheid
        "
